Sal_bar
Sal_com
Tri_glu
Pin_vul
Kal_ mic
Phy_alb
Eqi_var
Lup_spp
Jun_dru (pru?)
Car_spp
Cas_mer
CAL(GAL?)_
Carex Nigricans?
Buttwort SPP
