Tri_glu
Equ_sp
Butterwort_sp
Sal_spl (hairy leaves)
Epi_lat
Cas_mer
Phy_gla
Phy_emp
Gau_hum
"Sal_sp2 (not hairy leaves, red-stemmed)"
