Lup_sp
Tri_glu
Kal_mic
Butterwort_sp
Cass_mer
Equ_sp
Phy_cmp
Carex_sp
Sal_spl (barclayi?)
Sal_sp2 (commutata) or (barratiana)
Gau_hum
Jun_drummondii (?)
