Tri
Cas_mer
Lup_spp
Equ_spp
Phy_gla
Kal_mic
Butterwort (common)
Lec_pyr
gau_hum (?)
Carex_spp
Ant_alp
Sal_sp1 (not hairy)
Sal_sp2
