Lup_spp
Cas_mer
Equ_spp
Butterwort spp.
Lep_pyr
Tri_glu
Gau_hum
Ant_alp
Aepi_lat
Phy_gla
Carex_spp
Thy_emp (?)
Sal_spl
Kal_mic
Sal_sp2
