filename,X,Y,HitOrder,SPP,STATUS,TISSUE,CanopyHeight(mm),Extra sp,SITE,PLOT,TRTMT,Observer,DATE,TOMST,Flag,Flag
SAL_1C.csv,20,30,Top,triglu,l,lf,1,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,30,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,30,Top,caraur,sd,lf,2,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,30,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,30,Top,furry salix,l,lf,41,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,30,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,30,Top,furry salix,l,lf,28,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,30,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,30,Top,carspp,sd,lf,7,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,30,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,30,Top,furry salix,l,lf,22,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,30,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,30,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,30,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,30,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,30,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,40,Top,na,,,0,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,40,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,40,Top,caraur,sd,lf,9,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,40,Bottom,rock,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,40,Top,furry salix,l,st,6,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,40,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,40,Top,triglu,sd,lf,4,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,40,Bottom,carspp,l,lf,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,40,Top,furry salix,l,st,14.5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,40,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,40,Top,triglu,sd,flst,9,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,40,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,40,Top,furry salix,l,st,11,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,40,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,40,Top,furry salix,l,st,17,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,40,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,40,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,40,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,40,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,40,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,50,Top,carspp,sd,lf,5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,50,Bottom,carspp,sd,lf,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,50,Top,caraur,sd,lf,8.5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,50,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,50,Top,furry salix,l,st,12,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,50,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,50,Top,furry salix,l,st,8,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,50,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,50,Top,furry salix,ad,st,6,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,50,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,50,Top,litter,,,9,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,50,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,50,Top,carspp,sd,lf,5.5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,50,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,50,Top,furry salix,l,lf,23,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,50,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,50,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,50,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,50,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,50,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,60,Top,carspp,sd,lf,1,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,60,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,60,Top,furry salix,ad,st,4,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,60,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,60,Top,litter,,,1,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,60,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,60,Top,carspp,l,flst,21,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,60,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
