plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
Cas mer,4.7,4.6,6.7,1.5,4.8,5.1,5.4,7,n/a,3.8
Tri glu,8.6,7.9,10,6.3,8.1,20.5,17.5,24,21.7,27.1
Phy gla,6.4,4.9,6.2,2.2,7.6,n/a,n/a,n/a,n/a,n/a
Equ var,18.1,18.8,19.7,25.3,26.5,19.2,n/a,n/a,n/a,27.5
Kal mic,9.1,3.6,6.6,4.1,4,7.4,7.7,7.7,7.2,7
Butter wort,0.8,1.5,0.5,0.3,0.3,4.5,6,9.2,9,7.3
