plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
Cas mer,7.5,5.5,2.7,6.4,8,5.7,n/a,n/a,n/a,n/a
Tri glu,10.6,12.1,8.5,10.1,8,24,21.9,22.4,30.8,16.2
Phy gla,5,10.2,9.5,9.7,8,11.8,5.3,12,11.3,7.6
Equ var,16,17.7,21.4,23.9,34,16.8,n/a,n/a,25.1,34.5
Kal mic,5,5.5,8.8,6.3,7.2,7.4,8,9.2,9.5,8.6
Butter wort,0.5,0.5,0.6,0.8,0.3,5.1,7.5,n/a,8.2,n/a
