plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
Cas mer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Tri glu,7,6.7,10.5,7,8.3,15.5,17.5,26,18,30
Phy gla,8.5,4,12.5,8.5,8.5,n/a,n/a,15.5,9.5,n/a
Equ var,25.5,14,26,36,26.5,26.5,14,27,37,28
Kal mic,8.3,4,5.5,6.5,10,12,8.5,7,9,n/a
Butter wort,0.3,n/a,1.5,0.5,n/a,n/a,n/a,n/a,6.5,n/a
