plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
Cas mer,6.9,3.7,7.1,6.8,6.2,6.2,4.9,n/a,5.1,3.8
Tri glu,11.4,10.2,11.4,6.5,7.1,15,20.8,17.1,20.5,22.7
Phy gla,9.1,7.1,4.6,7.2,6.9,n/a,n/a,n/a,n/a,n/a
Equ var,17,n/a,n/a,16.8,n/a,n/a,n/a,n/a,n/a,n/a
Kal mic,5,7.2,8.6,6.1,5,7.3,7.8,10.3,9.2,6.5
Butter wort,1.1,1.7,0.3,0.2,0.2,8,7.3,9.1,5.2,5.6
