plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
Cas mer,n/a,n/a,n/a,n/a,5.8,n/a,n/a,n/a,n/a,n/a
Tri glu,10,5.5,6.5,8,7,20,14,25.5,n/a,19.9
Phy gla,5.2,6.8,6.3,4.5,6.3,n/a,n/a,n/a,n/a,n/a
Equ var,19,23,22,19.5,23,19.5,24,22.5,21,24
Kal mic,4,5.3,3,9.5,6.8,9.5,n/a,n/a,n/a,6
Butter wort,n/a,n/a,n/a,0.5,0.2,n/a,n/a,n/a,n/a,n/a
