plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
Cas mer,3,7,3,1.8,3.7,3.3,9.5,n/a,2.5,6
Tri glu,4.5,3.4,5.5,4,6.5,21.5,15.7,24.5,12.7,15.5
Phy gla,5,n/a,2.5,2.8,5.5,6.6,n/a,n/a,n/a,n/a
Equ var,29,22.5,25.5,29.5,23,30.5,23,26.6,30.5,25
Kal mic,7,4.9,2.5,3.7,4,11,6.7,5,6.5,5
Butter wort,0.3,0.5,0.4,0.3,0.5,n/a,n/a,n/a,n/a,n/a
