plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
Cas mer,3.2,1.8,5.4,6.8,8.9,n/a,n/a,6.1,8.1,7.2
Tri glu,14.4,9.6,9.2,10,13.8,26.7,20.8,15,24.2,31
Phy gla,8,9.3,10.2,9.2,6,8.5,11.1,10.6,8.6,10.7
Equ var,15.5,15.5,22.9,14.6,16.1,17,16.6,n/a,n/a,n/a
Kal mic,6.2,3.3,8.5,6.7,8.9,8.4,9,7.7,8.9,11.5
Butter wort,0.2,0.3,0.2,0.4,0.3,n/a,n/a,n/a,n/a,n/a
