plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
EQU_VAR,13,23.4,33.7,21.6,9.5,n/a,n/a,n/a,n/a,n/a
EQU_ARV,8.5,3.5,8.3,6.8,5.5,n/a,n/a,n/a,n/a,n/a
CAR_AQU,25,15,16.1,10.5,10.5,14.8,8.5,14.7,19.6,10.2
SAL_BAR,9.1,11.2,7.5,5.7,1.2,n/a,n/a,n/a,n/a,n/a
JUN_MER,11.6,13.4,10.4,n/a,8.2,15.6,13.9,15,n/a,1.3
JUN_ARC,21.1,14.5,12.6,10.9,22.1,11.8,13.7,14.4,14.4,9.9
