plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
EQU_VAR,n/a,9.5,18,n/a,4,n/a,n/a,n/a,n/a,n/a
EQU_ARV,8,17.5,22,11.5,14,n/a,n/a,n/a,n/a,n/a
CAR_AQU,31,13.5,20.5,19,19.5,25,12,25,20,26
SAL_BAR,n/a,n/a,10,n/a,1.5,n/a,n/a,n/a,n/a,n/a
JUN_MER,8,8.5,5,6,n/a,14,13.5,9.5,13.5,n/a
JUN_ARC,6,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a
