plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
EQU_VAR,n/a,n/a,4,13,n/a,n/a,n/a,n/a,n/a,n/a
EQU_ARV,11.5,8,15.5,12.5,8.5,n/a,n/a,n/a,n/a,n/a
CAR_AQU,15,23,22.5,34,26.5,23,34,28.5,40,27
SAL_BAR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
JUN_MER,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
JUN_ARC,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
