plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
EQU_VAR,24,23.2,15.9,17.4,n/a,n/a,n/a,n/a,n/a,n/a
EQU_ARV,9.6,15.4,16.4,12.6,16.7,n/a,n/a,n/a,n/a,n/a
CAR_AQU,9.7,13.7,17,6.5,15.6,12,18,16.8,13.3,26.7
SAL_BAR,n/a,9.3,25.2,N/A,10.8,n/a,n/a,n/a,n/a,n/a
JUN_MER,9.1,11.2,24.8,7.4,11.6,11.2,12.1,18.9,10.4,15
JUN_ARC,13.7,23.7,24.7,33.8,26.2,19,16.9,16.5,20.5,17.9
