plant,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,FLOW_1,FLOW_2,FLOW_3,FLOW_4,FLOW_5
EQU_VAR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
EQU_ARV,7.5,7.3,8.9,n/a,10.2,n/a,n/a,n/a,n/a,n/a
CAR_AQU,16.2,12.5,16.9,20,18.1,14.1,15.9,21.2,29.7,19.4
SAL_BAR,20.8,5.5,3.4,13.5,6.6,n/a,n/a,n/a,n/a,n/a
JUN_MER,11,6.3,n/a,n/a,6.8,13.5,11,n/a,n/a,13
JUN_ARC,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
